t,x1,y1,z1,x2,y2,z2
8.750000e+01,5.166880e-02,5.296869e-02,5.939961e-02,2.738411e-02,6.681120e-02,2.754272e-02
8.800000e+01,5.070721e-02,5.291910e-02,5.122991e-02,2.770094e-02,6.696474e-02,2.860331e-02
8.850000e+01,5.202211e-02,5.743896e-02,5.069134e-02,2.931155e-02,7.176692e-02,4.456349e-02
8.900000e+01,5.252120e-02,5.605452e-02,4.982683e-02,2.876141e-02,7.021560e-02,3.583969e-02
8.950000e+01,5.033610e-02,5.293671e-02,5.369211e-02,2.756863e-02,6.692493e-02,2.837790e-02
9.000000e+01,5.145993e-02,5.114723e-02,5.580061e-02,2.897908e-02,6.492148e-02,2.222394e-02
9.050000e+01,5.348080e-02,5.646047e-02,5.021806e-02,3.031600e-02,7.028227e-02,2.033738e-02
9.100000e+01,5.017181e-02,5.772619e-02,4.028922e-02,2.720793e-02,7.205627e-02,3.220483e-02
9.150000e+01,5.198312e-02,5.550925e-02,4.130225e-02,2.900283e-02,6.974010e-02,3.123637e-02
9.200000e+01,5.351865e-02,5.571294e-02,5.079258e-02,3.041129e-02,6.978451e-02,3.274131e-02
9.250000e+01,5.161904e-02,5.635011e-02,5.503959e-02,2.826581e-02,7.023210e-02,2.522317e-02
9.300000e+01,5.135304e-02,5.539914e-02,5.390814e-02,2.776587e-02,6.912919e-02,1.681644e-02
9.350000e+01,5.254314e-02,5.638955e-02,3.933642e-02,2.949337e-02,7.048686e-02,2.258943e-02
9.400000e+01,5.280922e-02,5.400389e-02,4.617989e-02,2.914972e-02,6.823108e-02,3.602075e-02
9.450000e+01,5.160198e-02,5.602793e-02,4.551137e-02,2.723101e-02,7.027725e-02,3.414708e-02
9.500000e+01,5.284625e-02,5.705129e-02,5.091944e-02,2.946280e-02,7.101095e-02,2.616781e-02
9.550000e+01,5.236732e-02,5.483366e-02,5.953589e-02,2.902360e-02,6.855098e-02,2.359068e-02
9.600000e+01,5.159665e-02,5.607844e-02,5.233338e-02,2.741065e-02,7.010574e-02,2.899455e-02
9.650000e+01,5.283599e-02,5.705281e-02,5.174063e-02,2.959173e-02,7.115932e-02,3.612666e-02
9.700000e+01,5.189434e-02,5.722612e-02,4.448999e-02,2.914058e-02,7.155498e-02,3.558670e-02
9.750000e+01,5.109096e-02,5.576462e-02,4.612614e-02,2.740737e-02,6.991657e-02,2.661148e-02
9.800000e+01,5.241009e-02,5.578805e-02,5.195524e-02,2.913466e-02,6.957270e-02,2.045428e-02
9.850000e+01,5.202439e-02,5.641292e-02,4.748671e-02,2.953591e-02,7.029202e-02,1.966280e-02
9.900000e+01,5.185692e-02,5.466758e-02,3.864115e-02,2.871141e-02,6.864726e-02,1.634943e-02
9.950000e+01,5.163087e-02,5.486846e-02,4.377241e-02,2.861645e-02,6.918093e-02,3.642166e-02
1.000000e+02,5.267944e-02,5.713548e-02,4.910916e-02,3.013680e-02,7.128282e-02,3.462303e-02
1.005000e+02,5.228486e-02,5.618669e-02,5.199042e-02,2.923382e-02,7.010471e-02,2.486905e-02
1.010000e+02,5.107620e-02,5.403798e-02,5.559173e-02,2.762867e-02,6.791274e-02,2.526950e-02
1.015000e+02,5.291777e-02,5.586884e-02,5.499373e-02,2.972354e-02,6.972777e-02,2.506166e-02
1.020000e+02,5.188451e-02,5.854602e-02,4.974830e-02,2.885485e-02,7.285488e-02,4.174307e-02
1.025000e+02,5.055284e-02,5.596767e-02,4.647410e-02,2.725699e-02,7.022512e-02,3.521898e-02
1.030000e+02,5.242831e-02,5.509974e-02,4.934000e-02,2.877918e-02,6.909900e-02,2.692071e-02
1.035000e+02,5.219243e-02,5.560526e-02,6.036252e-02,2.861987e-02,6.942407e-02,2.875538e-02
1.040000e+02,5.070824e-02,5.447355e-02,5.623559e-02,2.713497e-02,6.836669e-02,2.613872e-02
1.045000e+02,5.237250e-02,5.319475e-02,3.513513e-02,2.823699e-02,6.738856e-02,2.357339e-02
1.050000e+02,5.426382e-02,5.524927e-02,4.201137e-02,3.067922e-02,6.935793e-02,2.848103e-02
1.055000e+02,5.149787e-02,5.495911e-02,3.863455e-02,2.866543e-02,6.911693e-02,2.393203e-02
1.060000e+02,5.050836e-02,5.386702e-02,4.450914e-02,2.674759e-02,6.774932e-02,1.469522e-02
1.065000e+02,5.574314e-02,5.475329e-02,5.525705e-02,3.225901e-02,6.843876e-02,2.182921e-02
1.070000e+02,5.342962e-02,5.681480e-02,4.504374e-02,3.049146e-02,7.093081e-02,3.079492e-02
1.075000e+02,4.940235e-02,5.418117e-02,5.040862e-02,2.587476e-02,6.828033e-02,3.064673e-02
1.080000e+02,5.407860e-02,5.622138e-02,4.597540e-02,3.098254e-02,7.034127e-02,3.299958e-02
1.085000e+02,5.219122e-02,5.761877e-02,5.383820e-02,2.958345e-02,7.163411e-02,3.299625e-02
1.090000e+02,5.136728e-02,5.281054e-02,6.201850e-02,2.831408e-02,6.667070e-02,3.194860e-02
1.095000e+02,5.259221e-02,5.340968e-02,5.719053e-02,2.945224e-02,6.741256e-02,3.557720e-02
1.100000e+02,5.250823e-02,5.438761e-02,4.541184e-02,2.937052e-02,6.832513e-02,2.199465e-02
1.105000e+02,5.145754e-02,5.656811e-02,3.942547e-02,2.849470e-02,7.079881e-02,2.947748e-02
1.110000e+02,5.089552e-02,5.169810e-02,5.024317e-02,2.762961e-02,6.580006e-02,3.112967e-02
1.115000e+02,5.343917e-02,5.418097e-02,5.503776e-02,3.003171e-02,6.802999e-02,2.682772e-02
1.120000e+02,5.008452e-02,5.827554e-02,5.286170e-02,2.706673e-02,7.231087e-02,3.016176e-02
1.125000e+02,4.992197e-02,5.559660e-02,4.845743e-02,2.679792e-02,6.954656e-02,2.156510e-02
1.130000e+02,5.336162e-02,5.320704e-02,3.696475e-02,2.940192e-02,6.745582e-02,2.973235e-02
1.135000e+02,5.145886e-02,5.732079e-02,4.016532e-02,2.773182e-02,7.137469e-02,2.095885e-02
1.140000e+02,5.063164e-02,5.411754e-02,4.752567e-02,2.724930e-02,6.795309e-02,1.745494e-02
1.145000e+02,5.396006e-02,5.390043e-02,5.234301e-02,3.000029e-02,6.782795e-02,2.932843e-02
1.150000e+02,5.478527e-02,5.405720e-02,4.989145e-02,3.099514e-02,6.789704e-02,2.293712e-02
1.155000e+02,5.049243e-02,5.563689e-02,3.617522e-02,2.756656e-02,6.994082e-02,2.886208e-02
1.160000e+02,5.463362e-02,5.417413e-02,5.254794e-02,3.105613e-02,6.822681e-02,3.548394e-02
1.165000e+02,5.211048e-02,5.620966e-02,6.142145e-02,2.824215e-02,7.014464e-02,3.455529e-02
1.170000e+02,5.100955e-02,5.476780e-02,4.914212e-02,2.795199e-02,6.871254e-02,2.366020e-02
1.175000e+02,5.266484e-02,5.354262e-02,5.161313e-02,2.975811e-02,6.739818e-02,2.349782e-02
1.180000e+02,5.025302e-02,5.843666e-02,5.135587e-02,2.721119e-02,7.273308e-02,4.218365e-02
1.185000e+02,4.979175e-02,5.709557e-02,5.354633e-02,2.698611e-02,7.128157e-02,3.862472e-02
1.190000e+02,5.192058e-02,5.338068e-02,6.036244e-02,2.901466e-02,6.739699e-02,3.800407e-02
1.195000e+02,5.309804e-02,5.189182e-02,5.289533e-02,2.989847e-02,6.568147e-02,2.263235e-02
1.200000e+02,4.984821e-02,5.577874e-02,4.630407e-02,2.657435e-02,6.966199e-02,1.592221e-02
1.205000e+02,5.182819e-02,5.653494e-02,3.347954e-02,2.876509e-02,7.072383e-02,2.138341e-02
1.210000e+02,5.258469e-02,5.040121e-02,3.348107e-02,2.960035e-02,6.451343e-02,1.933914e-02
1.215000e+02,4.969261e-02,5.170028e-02,4.192057e-02,2.627742e-02,6.591260e-02,2.762366e-02
1.220000e+02,5.035144e-02,5.599365e-02,5.629434e-02,2.671941e-02,6.991835e-02,2.771034e-02
1.225000e+02,5.236054e-02,5.397194e-02,5.248598e-02,2.899681e-02,6.767993e-02,1.774825e-02
1.230000e+02,5.262785e-02,5.597214e-02,4.395614e-02,2.874508e-02,7.001609e-02,2.532103e-02
